Хүйс,Аймаг,Код,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Эмэгтэй,Орхон,261,,,,,,58.9,61.2,62.5,89.1,99.8,104.3,137.1,171.2,258.4,295.5,349.5,412,568.3,583.8,799,829.7,857.9,837.6,925,1070.2,1239.8,1327.8,1524.5,1903.6,2392
Эмэгтэй,Өвөрхангай,262,,,,,,48.1,45.3,67.5,66.9,87.4,99.1,117,151.2,270.2,283.1,305,375.9,501.5,578.8,591.4,599.8,621.6,650.9,671,803.8,924,964.1,1122.6,1440.1,1953.6
Эмэгтэй,Хөвсгөл,267,,,,,,47.5,52,49.7,56,71,68.7,90.5,126.3,227.5,268.9,276,309.3,442.3,615.1,576.5,582.7,581.1,608,618.8,744.6,871.5,903.9,1028.2,1335.3,1844.9
Эмэгтэй,Төвийн бүс,3,,,,,,54,58,67,76.5,88.9,93.2,118.7,158.7,269.7,276.7,310.2,388.8,511.8,622.6,629.8,650.3,663.5,697.5,729.8,849,972.4,1033.2,1186.3,1566.1,2089.5
Эмэгтэй,Говьсүмбэр,342,,,,,,73.8,73.8,82,99.8,111.6,118.4,151.2,190.4,283.6,349.3,420.4,501.9,626.4,608.8,685.5,700.8,707.5,756.8,794.3,922.2,1039.7,1121,1274,1670.2,2219.4
Эмэгтэй,Дархан-Уул,345,,,,,,62.7,64.2,79.6,94.4,117,96.1,118.4,162.5,256,262.8,292.5,382.4,526.9,586.1,621.8,627.2,667.3,705,737.3,843.1,952.9,1013.7,1161.8,1454.1,1886.1
Эмэгтэй,Дорноговь,344,,,,,,41.3,61.9,49.6,63,74,78.9,111.3,148.5,256.7,272,298.9,363.3,489.1,623.6,662,688.7,700.8,738.6,773,889.7,1004.8,1064.3,1208.7,1586.2,2121.4
Эмэгтэй,Дундговь,348,,,,,,43.8,53.3,56.4,63.2,79.2,85.3,108.6,150.3,263.9,268.8,298.4,361,499.6,655.9,601.4,626.8,638.1,639.9,661.4,811.7,935.7,989.1,1122.1,1443.3,2074
Эмэгтэй,Өмнөговь,346,,,,,,48.4,56.8,61.6,72.1,88.8,90.6,116.9,171.3,272.3,265.1,325.9,394.8,508.3,786.3,642,663.3,666.7,718,753.2,857.1,980.3,1062.5,1264.8,1795.7,2315.2
Эмэгтэй,Сэлэнгэ,343,,,,,,57.8,56.2,66.3,74.9,74.1,104.7,128.8,158.6,288.1,286.3,308.8,412.7,501.2,614.5,625,657.5,648.9,676.8,719.4,843.4,970.8,1019.4,1168.8,1519.2,2059.4
Эмэгтэй,Төв,341,,,,,,39,50,63.1,65,73.8,77,98.7,143.8,252.6,262.9,296.9,342.4,471.9,573.8,596.8,620.6,635.4,657.9,669,803.2,954.3,1003.6,1118.3,1466.2,2032.9
Эмэгтэй,Зүүн бүс,4,,,,,,52.4,53.4,57.8,62.4,68.6,85.5,106.1,148,243.6,273.2,293.3,345.1,472.2,607.5,590.5,623.5,647.9,677.3,681.9,816.6,930.1,984.5,1129.1,1451.8,1959.6
Эмэгтэй,Дорнод,421,,,,,,46.9,49.4,57.5,52.8,60.7,87.9,106.1,156.3,260.2,298.8,302,370.6,505.6,619.8,620.5,676.3,700.9,748.7,725.6,857.9,955.5,1015.2,1182.8,1485.9,1924.2
Эмэгтэй,Сүхбаатар,422,,,,,,60,58.9,61.7,71.4,75.6,85.3,98,148.7,247.4,247.3,284,328.4,453.9,584.4,550.9,580.8,610.2,630.3,657.8,770.4,883.7,936.5,1075.5,1392,1943.2
Эмэгтэй,Хэнтий,423,,,,,,52.5,52.4,54.1,68.6,73.9,82.9,115.9,128.6,198.4,244.7,278.3,302,404.9,606.8,587.4,596.9,614.2,628.3,649.7,802.5,934.5,984.3,1104.6,1455.3,2011.9
